Nombre,Categoría,Calificación,Precio promedio (USD),Número de reseñas,Latitud,Longitud,geometry,departamento
Restaurante 1,China,4.8,38,344,4.67,-74.14,POINT (-74.14 4.67),BOGOTA D.C.
Restaurante 2,Francesa,4.2,14,264,3.6,-75.6,POINT (-75.6 3.6),TOLIMA
Restaurante 3,Francesa,3.3,21,252,5.83,-76.09,POINT (-76.09 5.83),ANTIOQUIA
Restaurante 4,Peruana,3.6,22,299,6.26,-74.45,POINT (-74.45 6.26),SANTANDER
Restaurante 5,Italiana,4.7,31,411,4.49,-75.74,POINT (-75.74 4.49),QUINDIO
Restaurante 6,China,2.7,49,306,3.86,-75.06,POINT (-75.06 3.86),TOLIMA
Restaurante 7,Francesa,2.3,24,124,4.38,-75.56,POINT (-75.56 4.38),TOLIMA
Restaurante 8,Colombiana,4.9,22,393,5.15,-75.53,POINT (-75.53 5.15),CALDAS
Restaurante 9,China,4.5,10,251,4.35,-74.74,POINT (-74.74 4.35),CUNDINAMARCA
Restaurante 10,Italiana,2.3,47,191,5.23,-75.63,POINT (-75.63 5.23),CALDAS
Restaurante 11,Mexicana,2.9,10,255,6.3,-74.84,POINT (-74.84 6.3),ANTIOQUIA
Restaurante 12,Japonesa,2.7,20,248,5.41,-76.47,POINT (-76.47 5.41),CHOCO
Restaurante 13,Francesa,1.6,49,456,4.49,-75.72,POINT (-75.72 4.49),QUINDIO
Restaurante 14,Colombiana,4.8,31,220,6.21,-75.73,POINT (-75.73 6.21),ANTIOQUIA
Restaurante 15,Italiana,2.6,44,455,5.1,-74.7,POINT (-74.7 5.1),CUNDINAMARCA
Restaurante 16,China,4.5,15,365,3.79,-75.75,POINT (-75.75 3.79),TOLIMA
Restaurante 17,Japonesa,1.8,37,277,4.9,-74.98,POINT (-74.98 4.9),TOLIMA
Restaurante 18,Japonesa,3.2,40,460,5.36,-74.85,POINT (-74.85 5.36),CALDAS
Restaurante 19,Francesa,1.1,17,489,5.91,-74.92,POINT (-74.92 5.91),ANTIOQUIA
Restaurante 20,Italiana,4.1,14,435,6.21,-75.05,POINT (-75.05 6.21),ANTIOQUIA
Restaurante 21,Italiana,3.3,26,472,4.35,-75.51,POINT (-75.51 4.35),TOLIMA
Restaurante 22,Colombiana,3.5,47,228,3.87,-75.6,POINT (-75.6 3.87),TOLIMA
Restaurante 23,Mexicana,1.2,18,415,3.62,-75.14,POINT (-75.14 3.62),TOLIMA
Restaurante 24,Mexicana,1.8,19,324,5.62,-76.35,POINT (-76.35 5.62),CHOCO
Restaurante 25,Peruana,1.3,29,111,5.79,-74.4,POINT (-74.4 5.79),BOYACA
Restaurante 26,Mexicana,2.2,23,376,4.63,-74.52,POINT (-74.52 4.63),CUNDINAMARCA
Restaurante 27,Peruana,3.5,23,253,4.59,-75.67,POINT (-75.67 4.59),QUINDIO
Restaurante 28,Japonesa,3.3,35,496,6.26,-75.14,POINT (-75.14 6.26),ANTIOQUIA
Restaurante 29,Japonesa,3.4,38,416,6.15,-74.26,POINT (-74.26 6.15),SANTANDER
Restaurante 30,China,3.2,36,182,4.1,-75.85,POINT (-75.85 4.1),VALLE DEL CAUCA
Restaurante 31,Japonesa,2.1,34,121,5.74,-74.72,POINT (-74.72 5.74),CALDAS
Restaurante 32,Japonesa,2.0,25,127,5.27,-76.3,POINT (-76.3 5.27),RISARALDA
Restaurante 33,Italiana,1.5,45,238,3.86,-75.24,POINT (-75.24 3.86),TOLIMA
Restaurante 34,China,4.4,43,405,4.47,-74.38,POINT (-74.38 4.47),CUNDINAMARCA
Restaurante 35,Italiana,3.5,25,120,3.93,-75.18,POINT (-75.18 3.93),TOLIMA
Restaurante 36,Colombiana,1.7,42,312,4.29,-75.02,POINT (-75.02 4.29),TOLIMA
Restaurante 37,Peruana,1.7,12,355,5.25,-74.32,POINT (-74.32 5.25),CUNDINAMARCA
Restaurante 38,Peruana,4.5,32,95,4.53,-74.78,POINT (-74.78 4.53),CUNDINAMARCA
Restaurante 39,Colombiana,4.0,20,273,4.58,-74.83,POINT (-74.83 4.58),TOLIMA
Restaurante 40,Peruana,3.6,27,377,5.02,-75.09,POINT (-75.09 5.02),TOLIMA
Restaurante 41,China,2.6,38,299,3.66,-74.98,POINT (-74.98 3.66),TOLIMA
Restaurante 42,China,2.0,14,125,5.62,-74.57,POINT (-74.57 5.62),CUNDINAMARCA
Restaurante 43,Japonesa,4.9,33,123,4.61,-74.15,POINT (-74.15 4.61),BOGOTA D.C.
Restaurante 44,Peruana,4.2,38,191,4.84,-74.59,POINT (-74.59 4.84),CUNDINAMARCA
Restaurante 45,Colombiana,2.2,38,122,6.32,-74.8,POINT (-74.8 6.32),ANTIOQUIA
Restaurante 46,Francesa,4.4,35,151,4.43,-76.17,POINT (-76.17 4.43),VALLE DEL CAUCA
Restaurante 47,Mexicana,4.0,49,143,5.34,-74.54,POINT (-74.54 5.34),CUNDINAMARCA
Restaurante 48,Japonesa,2.2,12,118,4.58,-74.73,POINT (-74.73 4.58),CUNDINAMARCA
Restaurante 49,Mexicana,2.7,11,114,6.08,-74.65,POINT (-74.65 6.08),ANTIOQUIA
Restaurante 50,Colombiana,1.7,34,242,5.94,-75.95,POINT (-75.95 5.94),ANTIOQUIA
Restaurante 51,Peruana,1.4,28,490,4.12,-74.33,POINT (-74.33 4.12),BOGOTA D.C.
Restaurante 52,Peruana,3.9,49,111,5.48,-76.27,POINT (-76.27 5.48),CHOCO
Restaurante 53,Mexicana,2.1,11,69,3.6,-75.89,POINT (-75.89 3.6),TOLIMA
Restaurante 54,Francesa,4.3,28,290,6.29,-74.91,POINT (-74.91 6.29),ANTIOQUIA
Restaurante 55,Peruana,5.0,10,252,4.45,-74.88,POINT (-74.88 4.45),TOLIMA
Restaurante 56,Francesa,1.3,36,459,5.9,-75.75,POINT (-75.75 5.9),ANTIOQUIA
Restaurante 57,Italiana,2.9,44,349,4.36,-74.82,POINT (-74.82 4.36),CUNDINAMARCA
Restaurante 58,China,4.2,14,244,5.3,-75.57,POINT (-75.57 5.3),CALDAS
Restaurante 59,Mexicana,4.2,47,111,6.35,-76.5,POINT (-76.5 6.35),ANTIOQUIA
Restaurante 60,Peruana,4.0,13,156,6.03,-76.11,POINT (-76.11 6.03),ANTIOQUIA
Restaurante 61,Francesa,2.4,26,174,3.88,-74.38,POINT (-74.38 3.88),CUNDINAMARCA
Restaurante 62,Peruana,2.8,30,350,5.04,-75.97,POINT (-75.97 5.04),RISARALDA
Restaurante 63,China,3.4,40,316,4.45,-76.23,POINT (-76.23 4.45),VALLE DEL CAUCA
Restaurante 64,China,4.9,31,251,4.7,-74.86,POINT (-74.86 4.7),TOLIMA
Restaurante 65,Italiana,2.3,20,211,4.41,-75.44,POINT (-75.44 4.41),TOLIMA
Restaurante 66,China,4.7,43,393,4.41,-74.59,POINT (-74.59 4.41),CUNDINAMARCA
Restaurante 67,China,2.1,24,351,5.03,-74.43,POINT (-74.43 5.03),CUNDINAMARCA
Restaurante 68,Japonesa,5.0,19,161,3.98,-74.47,POINT (-74.47 3.98),CUNDINAMARCA
Restaurante 69,Colombiana,3.7,47,386,5.01,-75.75,POINT (-75.75 5.01),RISARALDA
Restaurante 70,Peruana,2.9,41,81,4.24,-75.29,POINT (-75.29 4.24),TOLIMA
Restaurante 71,Italiana,3.5,40,147,4.27,-74.94,POINT (-74.94 4.27),TOLIMA
Restaurante 72,Italiana,2.1,46,296,5.62,-75.73,POINT (-75.73 5.62),ANTIOQUIA
Restaurante 73,Mexicana,2.1,37,310,3.49,-76.4,POINT (-76.4 3.49),VALLE DEL CAUCA
Restaurante 74,China,1.5,40,240,4.54,-75.31,POINT (-75.31 4.54),TOLIMA
Restaurante 75,Mexicana,1.5,15,78,4.62,-76.47,POINT (-76.47 4.62),CHOCO
Restaurante 76,Japonesa,2.4,23,97,4.86,-74.22,POINT (-74.22 4.86),CUNDINAMARCA
Restaurante 77,Francesa,4.1,32,299,5.41,-74.59,POINT (-74.59 5.41),CUNDINAMARCA
Restaurante 78,China,3.4,25,275,4.51,-76.04,POINT (-76.04 4.51),VALLE DEL CAUCA
Restaurante 79,Francesa,1.4,34,321,4.04,-75.81,POINT (-75.81 4.04),VALLE DEL CAUCA
Restaurante 80,Colombiana,4.4,48,202,6.05,-74.14,POINT (-74.14 6.05),SANTANDER
Restaurante 81,Japonesa,3.4,11,377,6.34,-75.6,POINT (-75.6 6.34),ANTIOQUIA
Restaurante 82,China,4.8,47,334,3.46,-74.62,POINT (-74.62 3.46),HUILA
Restaurante 83,Mexicana,3.7,48,229,5.04,-75.43,POINT (-75.43 5.04),CALDAS
Restaurante 84,Mexicana,1.7,43,351,4.43,-74.43,POINT (-74.43 4.43),CUNDINAMARCA
Restaurante 85,China,2.9,49,202,4.23,-74.81,POINT (-74.81 4.23),TOLIMA
Restaurante 86,Peruana,3.6,34,283,4.41,-76.45,POINT (-76.45 4.41),VALLE DEL CAUCA
Restaurante 87,Mexicana,1.1,45,72,5.32,-75.79,POINT (-75.79 5.32),RISARALDA
Restaurante 88,Peruana,1.1,25,467,3.97,-75.16,POINT (-75.16 3.97),TOLIMA
Restaurante 89,China,1.5,27,143,6.14,-74.28,POINT (-74.28 6.14),SANTANDER
Restaurante 90,Italiana,2.0,22,419,4.8,-76.26,POINT (-76.26 4.8),CHOCO
Restaurante 91,Mexicana,2.7,46,294,4.38,-75.06,POINT (-75.06 4.38),TOLIMA
Restaurante 92,Peruana,2.9,36,339,5.7,-75.77,POINT (-75.77 5.7),ANTIOQUIA
Restaurante 93,China,1.6,43,209,3.45,-74.37,POINT (-74.37 3.45),META
Restaurante 94,China,3.7,20,422,4.7,-74.66,POINT (-74.66 4.7),CUNDINAMARCA
Restaurante 95,Peruana,3.4,10,334,4.47,-75.61,POINT (-75.61 4.47),QUINDIO
Restaurante 96,Mexicana,2.2,22,58,4.41,-76.1,POINT (-76.1 4.41),VALLE DEL CAUCA
Restaurante 97,Italiana,1.1,39,499,4.41,-76.47,POINT (-76.47 4.41),VALLE DEL CAUCA
Restaurante 98,Mexicana,1.3,14,234,3.49,-75.01,POINT (-75.01 3.49),TOLIMA
Restaurante 99,China,2.6,27,344,3.86,-75.53,POINT (-75.53 3.86),TOLIMA
Restaurante 100,Italiana,1.6,23,184,3.83,-75.74,POINT (-75.74 3.83),TOLIMA
Restaurante 101,Francesa,2.5,22,159,6.37,-74.13,POINT (-74.13 6.37),SANTANDER
